rid,uid,trainId,ssd,toc,stop_type,tpl,platform,act,pta,ptd,wta,wtd,wtp,planned_date,day_of_week,is_weekend,is_monday,is_friday,sched_hour,is_peak
202604096701026,C01026,5S59,2026-04-09,SN,PP,CRYSBRJ,,,,,,,20:57,2026-04-09,3,0,0,0,,0
202604096701026,C01026,5S59,2026-04-09,SN,PP,CRYSTLP,1,,,,,,21:02:30,2026-04-09,3,0,0,0,,0
202604096701026,C01026,5S59,2026-04-09,SN,PP,GIPSYH,1,,,,,,21:04,2026-04-09,3,0,0,0,,0
202604096701026,C01026,5S59,2026-04-09,SN,PP,NORWDFJ,,,,,,,20:53:30,2026-04-09,3,0,0,0,,0
202604096701026,C01026,5S59,2026-04-09,SN,PP,NORWDJ,1,,,,,,20:55:30,2026-04-09,3,0,0,0,,0
202604096701026,C01026,5S59,2026-04-09,SN,PP,SELHGRJ,,,,,,,20:52:30,2026-04-09,3,0,0,0,,0
202604096701026,C01026,5S59,2026-04-09,SN,OPIP,STRH658,,OPRM,,,21:20:30,21:25:30,,2026-04-09,3,0,0,0,21.0,0
202604096701026,C01026,5S59,2026-04-09,SN,OPIP,STRHILL,1,OP,,,21:12,21:12,,2026-04-09,3,0,0,0,21.0,0
202604096701026,C01026,5S59,2026-04-09,SN,OPDT,STRHSH,S2,TF,,,21:34,,,2026-04-09,3,0,0,0,,0
202604096701026,C01026,5S59,2026-04-09,SN,OPIP,STRHUSW,,OP,,,21:16:30,21:16:30,,2026-04-09,3,0,0,0,21.0,0
202604096701026,C01026,5S59,2026-04-09,SN,OPIP,STRHUSW,,OP,,,21:29:30,21:29:30,,2026-04-09,3,0,0,0,21.0,0
202604096701026,C01026,5S59,2026-04-09,SN,OPIP,WCROYDN,3,OP,,,20:50,20:50,,2026-04-09,3,0,0,0,20.0,0
202604096701026,C01026,5S59,2026-04-09,SN,OPOR,WCROYTB,,TB,,,,20:47,,2026-04-09,3,0,0,0,20.0,0
202604096701026,C01026,5S59,2026-04-09,SN,PP,WNORWDJ,,,,,,,21:08:30,2026-04-09,3,0,0,0,,0
202604096701026,C01026,5S59,2026-04-09,SN,PP,WNORWOD,1,,,,,,21:08,2026-04-09,3,0,0,0,,0
202604096701410,C01410,5L67,2026-04-09,GW,PP,CHOLSEY,3,,,,,,22:51,2026-04-09,3,0,0,0,,0
202604096701410,C01410,5L67,2026-04-09,GW,PP,CULHAM,1,,,,,,23:05,2026-04-09,3,0,0,0,,0
202604096701410,C01410,5L67,2026-04-09,GW,OPIP,DIDCOTP,3,OPA ,,,23:00,23:02,,2026-04-09,3,0,0,0,23.0,0
202604096701410,C01410,5L67,2026-04-09,GW,PP,DIDCTEJ,,,,,,,22:59,2026-04-09,3,0,0,0,,0
202604096701410,C01410,5L67,2026-04-09,GW,PP,DIDCTNJ,,,,,,,23:04,2026-04-09,3,0,0,0,,0
202604096701410,C01410,5L67,2026-04-09,GW,PP,GORASTR,3,,,,,,22:46,2026-04-09,3,0,0,0,,0
202604096701410,C01410,5L67,2026-04-09,GW,PP,HINKN,,,,,,,23:13,2026-04-09,3,0,0,0,,0
202604096701410,C01410,5L67,2026-04-09,GW,PP,KNNGTNJ,,,,,,,23:10,2026-04-09,3,0,0,0,,0
202604096701410,C01410,5L67,2026-04-09,GW,OPIP,OXFD,3,OP,,,23:20,23:21,,2026-04-09,3,0,0,0,23.0,0
202604096701410,C01410,5L67,2026-04-09,GW,OPDT,OXFDUCS,,TF,,,23:23,,,2026-04-09,3,0,0,0,,0
202604096701410,C01410,5L67,2026-04-09,GW,PP,RDLEY,1,,,,,,23:07,2026-04-09,3,0,0,0,,0
202604096701410,C01410,5L67,2026-04-09,GW,OPOR,RDNGSTN,13B,TB,,,,22:39,,2026-04-09,3,0,0,0,22.0,0
202604096701410,C01410,5L67,2026-04-09,GW,PP,REDGWJN,,,,,,,22:40:30,2026-04-09,3,0,0,0,,0
202604096702265,C02265,5R90,2026-04-09,EM,OPIP,NRCH,3,OPRM,,,23:04,23:14,,2026-04-09,3,0,0,0,23.0,0
202604096702265,C02265,5R90,2026-04-09,EM,OPDT,NRCHCSD,,TF,,,23:23,,,2026-04-09,3,0,0,0,,0
202604096702265,C02265,5R90,2026-04-09,EM,OPOR,NRCHTMD,,TB,,,,22:54,,2026-04-09,3,0,0,0,22.0,0
202604096702265,C02265,5R90,2026-04-09,EM,PP,NRCHTPJ,,,,,,,23:03,2026-04-09,3,0,0,0,,0
202604096702265,C02265,5R90,2026-04-09,EM,OPIP,NRCHTPJ,,OPRM,,,23:16,23:21,,2026-04-09,3,0,0,0,23.0,0
202604096707166,C07166,5D97,2026-04-09,GC,OPOR,BRADIN,1,TB,,,,23:22,,2026-04-09,3,0,0,0,23.0,0
202604096707166,C07166,5D97,2026-04-09,GC,PP,BRLYWJN,,,,,,,23:42,2026-04-09,3,0,0,0,,0
202604096707166,C07166,5D97,2026-04-09,GC,PP,CLDBDGJ,,,,,,,23:58,2026-04-09,3,0,0,0,,0
202604096707166,C07166,5D97,2026-04-09,GC,OPDT,CRFTDEP,,TF,,,00:17,,,2026-04-09,3,0,0,0,,0
202604096707166,C07166,5D97,2026-04-09,GC,OPIP,CRFTESP,,OPRM,,,00:06,00:13,,2026-04-09,3,0,0,0,0.0,0
202604096707166,C07166,5D97,2026-04-09,GC,PP,CRFTNEJ,,,,,,,00:04:30,2026-04-09,3,0,0,0,,0
202604096707166,C07166,5D97,2026-04-09,GC,PP,CRFTNWJ,,,,,,,00:02:30,2026-04-09,3,0,0,0,,0
202604096707166,C07166,5D97,2026-04-09,GC,PP,DYCLJN,,,,,,,23:35,2026-04-09,3,0,0,0,,0
202604096707166,C07166,5D97,2026-04-09,GC,PP,GRTLNDJ,,,,,,,23:37:30,2026-04-09,3,0,0,0,,0
202604096707166,C07166,5D97,2026-04-09,GC,PP,HETNLEJ,,,,,,,23:44,2026-04-09,3,0,0,0,,0
202604096707166,C07166,5D97,2026-04-09,GC,PP,HLFX,1,,,,,,23:33,2026-04-09,3,0,0,0,,0
202604096707166,C07166,5D97,2026-04-09,GC,PP,HORBRYJ,,,,,,,23:52:30,2026-04-09,3,0,0,0,,0
202604096707166,C07166,5D97,2026-04-09,GC,PP,MIRFEJN,,,,,,,23:45:30,2026-04-09,3,0,0,0,,0
202604096707166,C07166,5D97,2026-04-09,GC,PP,MLLNJN,,,,,,,23:23:30,2026-04-09,3,0,0,0,,0
202604096707166,C07166,5D97,2026-04-09,GC,PP,THHLNWJ,,,,,,,23:46,2026-04-09,3,0,0,0,,0
202604096707166,C07166,5D97,2026-04-09,GC,PP,WKFLDKG,3,,,,,,23:56:30,2026-04-09,3,0,0,0,,0
202604096708433,C08433,5N92,2026-04-09,EM,OPOR,NTNG,4,TB,,,,20:25,,2026-04-09,3,0,0,0,20.0,0
