train_id,actual_timestamp,planned_timestamp,gbtt_timestamp,loc_stanox,next_stanox,event_type,planned_event_type,variation_status,timetable_variation,platform,route,direction,train_terminated,delay_monitoring_point,msg_timestamp,data_source,is_delayed
365W85MY12,1776022560000,1776022530000,,31739,31713,ARRIVAL,ARRIVAL,LATE,1,,0,,false,false,1776018903000,SMART,1
352G54MY12,1776022440000,1776022500000,1776022500000,36069,36070,DEPARTURE,DEPARTURE,EARLY,1,1,1,UP,false,false,1776018903000,SMART,0
042H95MV12,1776022440000,1776022320000,1776022320000,06134,06113,DEPARTURE,DEPARTURE,LATE,2,2,1,DOWN,false,true,1776018903000,SMART,1
352G54MY12,1776022560000,1776022620000,1776022620000,36070,36071,ARRIVAL,ARRIVAL,EARLY,1,1,0,UP,false,false,1776018904000,SMART,0
722A31MY12,1776022440000,1776022320000,1776022320000,72272,72309,DEPARTURE,DEPARTURE,LATE,2,1,2,UP,false,false,1776018904000,SMART,1
722I22MX12,1776022440000,1776022350000,1776022320000,72277,72033,DEPARTURE,DEPARTURE,LATE,2,3,1,DOWN,false,true,1776018904000,SMART,1
652Y48MY12,1776022440000,1776022500000,,65625,65627,DEPARTURE,DEPARTURE,EARLY,1,,2,UP,false,false,1776018905000,SMART,0
651K27MX12,1776022500000,1776022410000,,59313,59301,DEPARTURE,DEPARTURE,LATE,2,,1,UP,false,false,1776018905000,SMART,1
041V68MQ12,1776022500000,1776022500000,,57458,57459,DEPARTURE,DEPARTURE,ON TIME,0,,1,DOWN,false,true,1776018905000,SMART,0
091T681W12,1776021420000,1776021210000,,09436,09439,DEPARTURE,DEPARTURE,LATE,4,,,,false,true,1776018905000,SDR,1
521P60MY12,1776022500000,1776022500000,,52701,52226,DEPARTURE,DEPARTURE,ON TIME,0,,1,DOWN,false,true,1776018905000,SMART,0
739W36MX12,1776022500000,1776022500000,1776022500000,52085,52206,ARRIVAL,ARRIVAL,ON TIME,0,,0,UP,false,false,1776018905000,SMART,0
872N39MX12,1776022500000,1776022440000,,52038,52219,DEPARTURE,DEPARTURE,LATE,1,,2,DOWN,false,false,1776018905000,SMART,1
741O87MX12,1776022440000,1776022500000,1776022500000,87052,87080,DEPARTURE,DEPARTURE,EARLY,1,8,1,DOWN,false,true,1776018905000,SMART,0
532F63MY12,1776022500000,1776022470000,,53234,53247,DEPARTURE,DEPARTURE,LATE,1,,1,UP,false,false,1776018906000,SMART,1
082K30MX12,1776022560000,1776022560000,1776022560000,07257,,ARRIVAL,DESTINATION,ON TIME,0,14,0,DOWN,true,true,1776018906000,SMART,0
542F56MX12,1776022380000,1776022380000,1776022380000,53243,53241,DEPARTURE,DEPARTURE,ON TIME,0,2,2,DOWN,false,false,1776018906000,SMART,0
072M75MY12,1776022500000,1776022560000,,07246,07257,DEPARTURE,DEPARTURE,EARLY,1,,2,DOWN,false,false,1776018906000,SMART,0
871S62MX12,1776022440000,1776022500000,1776022500000,87141,87142,DEPARTURE,DEPARTURE,EARLY,1,1,2,UP,false,true,1776018906000,SMART,0
252R56MY12,1776022440000,1776022320000,1776022320000,24314,24221,DEPARTURE,DEPARTURE,LATE,2,2,1,UP,false,false,1776018906000,SMART,1
872H62MY12,1776022500000,1776022560000,1776022560000,87163,87169,ARRIVAL,ARRIVAL,EARLY,1,1,0,UP,false,false,1776018906000,SMART,0
872F60MX12,1776022440000,1776022530000,,87271,87261,DEPARTURE,DEPARTURE,EARLY,1,2,3,UP,false,false,1776018906000,SMART,0
871F48MV12,1776022440000,1776022350000,1776022320000,88272,88269,DEPARTURE,DEPARTURE,LATE,2,2,1,DOWN,false,false,1776018906000,SMART,1
871W63MY12,1776022440000,1776022500000,1776022500000,87212,87286,DEPARTURE,DEPARTURE,EARLY,1,12,1,DOWN,false,true,1776018906000,SMART,0
721F32MV12,1776022440000,1776022320000,,37011,37003,DEPARTURE,DEPARTURE,LATE,2,2,1,DOWN,false,true,1776018906000,SMART,1
872B17MX12,1776022440000,1776022500000,1776022500000,87203,87199,DEPARTURE,DEPARTURE,EARLY,1,4,1,UP,false,true,1776018906000,SMART,0
861N35MY12,1776022500000,1776022500000,,86223,86225,ARRIVAL,ARRIVAL,ON TIME,0,,0,,false,false,1776018906000,SMART,0
731D38MY12,1776022440000,1776022500000,1776022500000,73822,74005,DEPARTURE,DEPARTURE,EARLY,1,2,1,DOWN,false,true,1776018906000,SMART,0
321N64MX12,1776022500000,1776022470000,1776022500000,30321,30213,ARRIVAL,ARRIVAL,LATE,1,2,0,DOWN,false,false,1776018906000,SMART,1
321D39MX12,1776022500000,1776022470000,,35555,35701,DEPARTURE,DEPARTURE,LATE,1,,3,UP,false,false,1776018906000,SMART,1
382N52MY12,1776022500000,1776022560000,1776022560000,38153,38157,ARRIVAL,ARRIVAL,EARLY,1,1,0,UP,false,false,1776018906000,SMART,0
739W46MY12,1776022500000,1776022530000,1776022560000,73253,73251,ARRIVAL,ARRIVAL,ON TIME,0,4,0,UP,false,true,1776018906000,SMART,0
631T53MW12,1776022500000,1776022560000,,74447,74446,DEPARTURE,DEPARTURE,EARLY,1,,1,UP,false,false,1776018906000,SMART,0
872J62MY12,1776022440000,1776022500000,1776022500000,87181,87179,DEPARTURE,DEPARTURE,EARLY,1,1,1,UP,false,true,1776018907000,SMART,0
832T29MX12,1776022440000,1776022500000,1776022500000,83421,83517,DEPARTURE,DEPARTURE,EARLY,1,3,1,DOWN,false,true,1776018907000,SMART,0
232R57MY12,1776022440000,1776022500000,1776022500000,23421,24219,DEPARTURE,DEPARTURE,EARLY,1,5,3,UP,false,true,1776018907000,SMART,0
832T29MX12,1776022620000,1776022620000,1776022620000,83517,83518,ARRIVAL,ARRIVAL,ON TIME,0,1,0,DOWN,false,false,1776018907000,SMART,0
141A69MU12,1776022560000,1776022200000,,23421,23480,ARRIVAL,ARRIVAL,LATE,6,,0,,false,true,1776018907000,SMART,1
811A28MW12,1776022500000,1776021960000,,73799,73775,ARRIVAL,ARRIVAL,LATE,9,,0,,false,false,1776018907000,SMART,1
042V65MY12,1776022560000,1776022500000,1776022500000,04010,,ARRIVAL,DESTINATION,LATE,1,2,0,DOWN,true,true,1776018907000,SMART,1
072J59MY12,1776022500000,1776022530000,,06419,06401,DEPARTURE,DEPARTURE,ON TIME,0,,1,DOWN,false,false,1776018907000,SMART,0
042T83MX12,1776022500000,1776022500000,1776022500000,04635,04641,ARRIVAL,ARRIVAL,ON TIME,0,,0,UP,false,false,1776018907000,SMART,0
529E55MY12,1776022620000,1776022560000,1776022560000,88392,,ARRIVAL,DESTINATION,LATE,1,,0,DOWN,true,true,1776018907000,SMART,1
879D55MY12,1776022500000,1776022500000,1776022500000,52090,52088,ARRIVAL,ARRIVAL,ON TIME,0,1,0,UP,false,false,1776018907000,SMART,0
892A62MX12,1776022440000,1776022470000,1776022440000,89402,89411,DEPARTURE,DEPARTURE,ON TIME,0,1,1,UP,false,false,1776018908000,SMART,0
722D54MY12,1776022440000,1776022290000,1776022260000,72033,72031,DEPARTURE,DEPARTURE,LATE,3,2,1,DOWN,false,false,1776018909000,SMART,1
532V63MY12,1776022560000,1776022590000,1776022620000,53501,53801,ARRIVAL,ARRIVAL,ON TIME,0,1,0,UP,false,false,1776018909000,SMART,0
451P59MX12,1776022440000,1776022500000,1776022500000,53223,53231,DEPARTURE,DEPARTURE,EARLY,1,1,1,UP,false,true,1776018909000,SMART,0
871P50MY12,1776022440000,1776022530000,,87626,87603,DEPARTURE,DEPARTURE,EARLY,1,,1,UP,false,false,1776018909000,SMART,0
529C55MY12,1776022500000,1776022440000,1776022440000,87629,87628,ARRIVAL,ARRIVAL,LATE,1,2,0,DOWN,false,false,1776018909000,SMART,1
042H97MW12,1776022500000,1776021870000,1776021900000,06399,06365,ARRIVAL,ARRIVAL,LATE,11,9,0,DOWN,false,true,1776018909000,SMART,1
479S57MW12,1776022440000,1776022500000,1776022500000,63629,63633,DEPARTURE,DEPARTURE,EARLY,1,,1,UP,false,true,1776018909000,SMART,0
861M66MT12,1776022440000,1776022500000,,69211,69215,DEPARTURE,DEPARTURE,EARLY,1,1,1,DOWN,false,false,1776018910000,SMART,0
782B04MY12,1776022440000,1776022500000,1776022500000,78451,78456,DEPARTURE,DEPARTURE,EARLY,1,1,4,DOWN,false,true,1776018910000,SMART,0
121Y19MU12,1776022440000,1776022620000,,45106,45144,DEPARTURE,DEPARTURE,EARLY,3,3,1,UP,false,true,1776018910000,SMART,0
061R18MY12,1776022560000,1776022560000,,06454,06457,ARRIVAL,ARRIVAL,ON TIME,0,,0,,false,true,1776018910000,SMART,0
011T72MS12,1776022440000,1776022500000,,06443,06421,DEPARTURE,DEPARTURE,EARLY,1,2,1,DOWN,false,false,1776018910000,SMART,0
062H92MV12,1776022440000,1776022470000,1776022440000,04010,04025,DEPARTURE,DEPARTURE,ON TIME,0,2,1,UP,false,true,1776018910000,SMART,0
322G20MY12,1776022500000,1776022500000,,32009,32050,DEPARTURE,DEPARTURE,ON TIME,0,,1,UP,false,false,1776018910000,SMART,0
472H57MX12,1776022560000,1776022590000,1776022620000,47611,47621,ARRIVAL,ARRIVAL,ON TIME,0,2,0,UP,false,true,1776018910000,SMART,0
521Y26MY12,1776022440000,1776022500000,1776022500000,50227,50223,DEPARTURE,DEPARTURE,EARLY,1,2,1,DOWN,false,false,1776018910000,SMART,0
872L40MX12,1776022500000,1776022260000,1776022260000,52048,52046,ARRIVAL,ARRIVAL,LATE,4,4,0,DOWN,false,false,1776018910000,SMART,1
362A90MX12,1776022500000,1776021690000,,31713,33102,DEPARTURE,DEPARTURE,LATE,14,,2,UP,false,false,1776018910000,SMART,1
872U62MY12,1776022500000,1776022560000,1776022560000,87131,87133,ARRIVAL,ARRIVAL,EARLY,1,4,0,UP,false,true,1776018911000,SMART,0
742N71MX12,1776022440000,1776022380000,1776022380000,74281,74291,DEPARTURE,DEPARTURE,LATE,1,1,1,DOWN,false,false,1776018911000,SMART,1
522H52MW12,1776022440000,1776022470000,1776022440000,47303,47239,DEPARTURE,DEPARTURE,ON TIME,0,2,1,DOWN,false,false,1776018911000,SMART,0
382Y31MY12,1776022440000,1776022500000,1776022500000,38216,38214,DEPARTURE,DEPARTURE,EARLY,1,2,1,UP,false,false,1776018911000,SMART,0
382Y31MY12,1776022560000,1776022590000,1776022620000,38214,38210,ARRIVAL,ARRIVAL,ON TIME,0,1,0,UP,false,false,1776018911000,SMART,0
629P59MY12,1776022440000,1776022440000,1776022440000,63214,63216,DEPARTURE,DEPARTURE,ON TIME,0,1,1,UP,false,false,1776018912000,SMART,0
629T61MY12,1776022500000,1776022560000,,62209,62211,DEPARTURE,DEPARTURE,EARLY,1,,1,UP,false,false,1776018912000,SMART,0
662P46MY12,1776022560000,1776022620000,1776022620000,66525,66519,ARRIVAL,ARRIVAL,EARLY,1,3,0,UP,false,true,1776018912000,SMART,0
629T61MY12,1776022560000,1776022620000,1776022620000,62211,62400,ARRIVAL,ARRIVAL,EARLY,1,1,0,UP,false,false,1776018912000,SMART,0
631F50MY12,1776022500000,1776022500000,,63551,63547,DEPARTURE,DEPARTURE,ON TIME,0,,2,DOWN,false,false,1776018912000,SMART,0
899P58MY12,1776022500000,1776022290000,,88711,88709,DEPARTURE,DEPARTURE,LATE,4,,2,UP,false,true,1776018912000,SMART,1
872B18MY12,1776022440000,1776022530000,1776022500000,87651,87662,DEPARTURE,DEPARTURE,EARLY,1,4,1,DOWN,false,true,1776018913000,SMART,0
541H20MV12,1776022500000,1776022230000,1776022200000,23421,23221,DEPARTURE,DEPARTURE,LATE,5,4,2,DOWN,false,true,1776018913000,SMART,1
871A48MY12,1776022560000,1776022530000,1776022560000,87920,87927,ARRIVAL,ARRIVAL,LATE,1,5,0,DOWN,false,true,1776018913000,SMART,1
122I10MX12,1776022440000,1776022500000,1776022500000,14003,14006,DEPARTURE,DEPARTURE,EARLY,1,1,1,UP,false,false,1776018913000,SMART,0
882M601Y12,1776022440000,1776022530000,1776022500000,88416,88417,DEPARTURE,DEPARTURE,EARLY,1,2,1,DOWN,false,false,1776018913000,SMART,0
872U10MY12,1776022500000,1776022530000,,87204,87208,DEPARTURE,DEPARTURE,ON TIME,0,,1,DOWN,false,false,1776018913000,SMART,0
629P57MY12,1776022500000,1776022560000,1776022560000,63633,87244,ARRIVAL,ARRIVAL,EARLY,1,3,0,DOWN,false,true,1776018913000,SMART,0
651L48MS12,1776022500000,1776022530000,,47346,47340,DEPARTURE,DEPARTURE,ON TIME,0,,2,DOWN,false,false,1776018913000,SMART,0
522N91MY12,1776022500000,1776022170000,1776022200000,72417,72416,ARRIVAL,ARRIVAL,LATE,6,1,0,DOWN,false,false,1776018913000,SMART,1
091T681W12,1776021720000,1776021420000,,09439,09438,DEPARTURE,DEPARTURE,LATE,5,,,,false,false,1776018913000,SDR,1
899P54MW12,1776022500000,1776022530000,1776022500000,87244,63633,ARRIVAL,ARRIVAL,ON TIME,0,1,0,UP,false,false,1776018913000,SMART,0
226K27CY12,1776022500000,1776022980000,,21011,21206,DEPARTURE,DEPARTURE,EARLY,8,,2,DOWN,false,false,1776018914000,SMART,0
652W52MX12,1776022560000,1776022620000,1776022620000,65043,,ARRIVAL,DESTINATION,EARLY,1,5,0,DOWN,true,true,1776018914000,SMART,0
041R17MY12,1776022500000,1776022530000,,04221,04032,DEPARTURE,DEPARTURE,ON TIME,0,,4,DOWN,false,true,1776018914000,SMART,0
072F55MY12,1776022440000,1776022500000,1776022500000,07480,07486,DEPARTURE,DEPARTURE,EARLY,1,1,2,DOWN,false,false,1776018915000,SMART,0
081A01MX12,1776022500000,1776022560000,,07242,07246,DEPARTURE,DEPARTURE,EARLY,1,,1,DOWN,false,false,1776018915000,SMART,0
882B631Y12,1776022440000,1776022470000,1776022440000,88604,88602,DEPARTURE,DEPARTURE,ON TIME,0,1,1,UP,false,false,1776018915000,SMART,0
861S33MW12,1776022500000,1776022080000,1776022080000,87993,87994,ARRIVAL,ARRIVAL,LATE,7,1,0,UP,false,false,1776018915000,SMART,1
881H70MY12,1776022500000,1776022530000,,88284,89398,DEPARTURE,DEPARTURE,ON TIME,0,,3,UP,false,true,1776018915000,SMART,0
871P63MY12,1776022560000,1776022590000,1776022560000,87219,87261,ARRIVAL,ARRIVAL,ON TIME,0,9,0,DOWN,false,true,1776018916000,SMART,0
879T50MV12,1776022500000,1776022140000,1776022140000,63451,63405,DEPARTURE,DEPARTURE,LATE,6,4,2,DOWN,false,true,1776018916000,SMART,1
872F56MX12,1776022440000,1776022470000,1776022440000,87629,87603,DEPARTURE,DEPARTURE,ON TIME,0,1,1,UP,false,false,1776018916000,SMART,0
629T57MW12,1776022500000,1776022530000,1776022500000,87601,87579,DEPARTURE,DEPARTURE,ON TIME,0,4,1,DOWN,false,true,1776018916000,SMART,0
882C601X12,1776022440000,1776022560000,1776022560000,88402,88401,DEPARTURE,DEPARTURE,EARLY,2,B,4,UP,false,false,1776018916000,SMART,0
721D92MW12,1776022500000,1776022440000,,42302,42155,DEPARTURE,DEPARTURE,LATE,1,,2,DOWN,false,true,1776018917000,SMART,1
211B89MU12,1776022500000,1776022500000,,34002,32557,DEPARTURE,DEPARTURE,ON TIME,0,,,,false,true,1776018918000,SDR,0
721F34MX12,1776022620000,1776022560000,,70030,70029,ARRIVAL,ARRIVAL,LATE,1,,0,,false,true,1776018918000,SMART,1
871P66MX12,1776022500000,1776022500000,1776022500000,87052,86040,DEPARTURE,DEPARTURE,ON TIME,0,5,2,UP,false,true,1776018918000,SMART,0
782R44MY12,1776022440000,1776022470000,1776022440000,78717,78713,DEPARTURE,DEPARTURE,ON TIME,0,1,2,UP,false,true,1776018918000,SMART,0
891L59MW12,1776022500000,1776022350000,,89540,89532,DEPARTURE,DEPARTURE,LATE,3,,2,UP,false,true,1776018918000,SMART,1
782R44MY12,1776022560000,1776022560000,1776022560000,78713,78711,ARRIVAL,ARRIVAL,ON TIME,0,1,0,UP,false,false,1776018918000,SMART,0
321V99MX12,1776022020000,1776022110000,,42231,64219,DEPARTURE,DEPARTURE,EARLY,1,1,2,UP,false,true,1776018918000,SMART,0
321V99MX12,1776022500000,1776022470000,,64219,64224,DEPARTURE,DEPARTURE,LATE,1,,2,UP,false,false,1776018918000,SMART,1
092H33MY12,1776022380000,1776022380000,1776022380000,17016,17017,DEPARTURE,DEPARTURE,ON TIME,0,1,1,UP,false,false,1776018918000,SMART,0
541N14MY12,1776022500000,1776022560000,,54304,54245,DEPARTURE,DEPARTURE,EARLY,1,,2,DOWN,false,true,1776018918000,SMART,0
092H33MY12,1776022620000,1776022590000,1776022620000,17017,17033,ARRIVAL,ARRIVAL,LATE,1,1,0,UP,false,false,1776018918000,SMART,1
731Y79MY12,1776022500000,1776022530000,,73784,73799,DEPARTURE,DEPARTURE,ON TIME,0,,1,UP,false,true,1776018918000,SMART,0
522N92MY12,1776022560000,1776022560000,1776022620000,72421,72434,ARRIVAL,ARRIVAL,ON TIME,0,1,0,DOWN,false,true,1776018918000,SMART,0
